2017-09-19 16:26:52.057,INFO,1MB_LOG,Client time at send: 105408767,Server time at receive:105408767,Server time at send:105408767,Client time at receive:105408783,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:52.103,INFO,1MB_LOG,Client time at send: 105408814,Server time at receive:105408814,Server time at send:105408814,Client time at receive:105408830,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:52.136,INFO,1MB_LOG,Client time at send: 105408845,Server time at receive:105408861,Server time at send:105408861,Client time at receive:105408861,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-19 16:26:52.181,INFO,1MB_LOG,Client time at send: 105408892,Server time at receive:105408908,Server time at send:105408908,Client time at receive:105408908,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-19 16:26:52.219,INFO,1MB_LOG,Client time at send: 105408923,Server time at receive:105408939,Server time at send:105408939,Client time at receive:105408955,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:32
2017-09-19 16:26:52.264,INFO,1MB_LOG,Client time at send: 105408970,Server time at receive:105408986,Server time at send:105408986,Client time at receive:105408986,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-19 16:26:52.294,INFO,1MB_LOG,Client time at send: 105409017,Server time at receive:105409017,Server time at send:105409017,Client time at receive:105409017,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:0
2017-09-19 16:26:52.345,INFO,1MB_LOG,Client time at send: 105409064,Server time at receive:105409064,Server time at send:105409064,Client time at receive:105409079,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:15,Round trip total time:15
2017-09-19 16:26:52.372,INFO,1MB_LOG,Client time at send: 105409079,Server time at receive:105409095,Server time at send:105409095,Client time at receive:105409095,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:0,Round trip total time:16
2017-09-19 16:26:52.422,INFO,1MB_LOG,Client time at send: 105409142,Server time at receive:105409142,Server time at send:105409142,Client time at receive:105409157,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:15,Round trip total time:15
2017-09-19 16:26:52.452,INFO,1MB_LOG,Client time at send: 105409157,Server time at receive:105409173,Server time at send:105409173,Client time at receive:105409189,Client to server timespan:16,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:32
2017-09-19 16:26:52.503,INFO,1MB_LOG,Client time at send: 105409220,Server time at receive:105409220,Server time at send:105409220,Client time at receive:105409235,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:15,Round trip total time:15
2017-09-19 16:26:52.531,INFO,1MB_LOG,Client time at send: 105409251,Server time at receive:105409251,Server time at send:105409251,Client time at receive:105409267,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:52.582,INFO,1MB_LOG,Client time at send: 105409298,Server time at receive:105409298,Server time at send:105409298,Client time at receive:105409313,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:15,Round trip total time:15
2017-09-19 16:26:52.612,INFO,1MB_LOG,Client time at send: 105409329,Server time at receive:105409329,Server time at send:105409329,Client time at receive:105409345,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:52.660,INFO,1MB_LOG,Client time at send: 105409376,Server time at receive:105409376,Server time at send:105409376,Client time at receive:105409391,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:15,Round trip total time:15
2017-09-19 16:26:52.694,INFO,1MB_LOG,Client time at send: 105409407,Server time at receive:105409407,Server time at send:105409407,Client time at receive:105409423,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:52.739,INFO,1MB_LOG,Client time at send: 105409454,Server time at receive:105409454,Server time at send:105409454,Client time at receive:105409469,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:15,Round trip total time:15
2017-09-19 16:26:52.772,INFO,1MB_LOG,Client time at send: 105409485,Server time at receive:105409485,Server time at send:105409485,Client time at receive:105409501,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:16,Round trip total time:16
2017-09-19 16:26:52.818,INFO,1MB_LOG,Client time at send: 105409532,Server time at receive:105409532,Server time at send:105409532,Client time at receive:105409547,Client to server timespan:0,Server receive to server send timespan:0,Server send to client receive timespan:15,Round trip total time:15
2017-09-19 16:26:52.853,INFO,1MB_LOG,Client time at send: 105409563,Server time at receive:105409563,Server time at send:105409579,Client time at receive:105409579,Client to server timespan:0,Server receive to server send timespan:16,Server send to client receive timespan:0,Round trip total time:16
